T(MeV)		mu(MeV)		M_u(MeV)		M_d(MeV)		M_s(MeV)		phi_u/L^3		phi_d/L^3		phi_s/L^3
1.000000	300.000000	34.345858	34.345858	462.780149	-1425650.687330	-1425650.687330	-15918187.832202
1.000000	301.000000	33.951308	33.951308	462.780147	-1406150.803308	-1406150.803308	-15918187.732378
1.000000	302.000000	33.564494	33.564494	462.780149	-1387033.277107	-1387033.277107	-15918187.830923
1.000000	303.000000	33.185198	33.185198	462.780149	-1368287.321716	-1368287.321716	-15918187.830320
1.000000	304.000000	32.813208	32.813208	462.780149	-1349902.449374	-1349902.449374	-15918187.829739
1.000000	305.000000	32.448321	32.448321	462.780149	-1331868.584771	-1331868.584771	-15918187.829182
1.000000	306.000000	32.090339	32.090339	462.780149	-1314176.021237	-1314176.021237	-15918187.828646
1.000000	307.000000	31.739072	31.739072	462.780150	-1296815.322594	-1296815.322594	-15918187.880323
1.000000	308.000000	31.394340	31.394340	462.780140	-1279777.644443	-1279777.644443	-15918187.403070
1.000000	309.000000	31.055967	31.055967	462.780139	-1263054.173557	-1263054.173557	-15918187.333001
1.000000	310.000000	30.723783	30.723783	462.780149	-1246636.643940	-1246636.643940	-15918187.826704
1.000000	311.000000	30.397619	30.397619	462.780150	-1230516.627639	-1230516.627639	-15918187.883146
1.000000	312.000000	30.077328	30.077328	462.780149	-1214686.843463	-1214686.843463	-15918187.825845
1.000000	313.000000	29.762743	29.762743	462.780150	-1199139.119870	-1199139.119870	-15918187.884154
1.000000	314.000000	29.453729	29.453729	462.780150	-1183866.664624	-1183866.664624	-15918187.884530
1.000000	315.000000	29.150138	29.150138	462.780150	-1168862.273610	-1168862.273610	-15918187.884817
1.000000	316.000000	28.851833	28.851833	462.780150	-1154119.143328	-1154119.143328	-15918187.885013
1.000000	317.000000	28.558682	28.558682	462.780150	-1139630.700126	-1139630.700126	-15918187.885123
1.000000	318.000000	28.270555	28.270555	462.780150	-1125390.584065	-1125390.584065	-15918187.885149
1.000000	319.000000	27.987329	27.987329	462.780150	-1111392.701987	-1111392.701987	-15918187.877555
1.000000	320.000000	27.708886	27.708886	462.780149	-1097631.198768	-1097631.198768	-15918187.823048
1.000000	321.000000	27.435098	27.435098	462.780150	-1084099.751739	-1084099.751739	-15918187.885408
1.000000	322.000000	27.165869	27.165869	462.780149	-1070793.637905	-1070793.637905	-15918187.822489
1.000000	323.000000	26.901072	26.901072	462.780150	-1057706.571704	-1057706.571704	-15918187.890593
1.000000	324.000000	26.640621	26.640621	462.780149	-1044834.257185	-1044834.257185	-15918187.821977
1.000000	325.000000	26.384398	26.384398	462.780149	-1032170.920961	-1032170.920961	-15918187.821739
1.000000	326.000000	26.132303	26.132303	462.780150	-1019711.631384	-1019711.631384	-15918187.893063
1.000000	327.000000	25.884251	25.884251	462.780150	-1007452.155660	-1007452.155660	-15918187.892709
1.000000	328.000000	25.640143	25.640143	462.780150	-995387.590052	-995387.590052	-15918187.882295
1.000000	329.000000	25.399897	25.399897	462.780149	-983513.876529	-983513.876529	-15918187.820893
1.000000	330.000000	25.163404	25.163404	462.780150	-971825.658638	-971825.658638	-15918187.881426
1.000000	331.000000	24.930605	24.930605	462.780149	-960320.050377	-960320.050377	-15918187.820528
1.000000	332.000000	24.701392	24.701392	462.780150	-948991.635303	-948991.635303	-15918187.880569
1.000000	333.000000	24.475712	24.475712	462.780149	-937837.811864	-937837.811864	-15918187.820200
1.000000	334.000000	24.253465	24.253465	462.780149	-926853.712653	-926853.712653	-15918187.820049
1.000000	335.000000	24.034577	24.034577	462.780150	-916035.594132	-916035.594132	-15918187.879367
1.000000	336.000000	23.818996	23.818996	462.780149	-905380.895743	-905380.895743	-15918187.819771
1.000000	337.000000	23.606621	23.606621	462.780164	-894884.669549	-894884.669549	-15918188.558350
1.000000	338.000000	23.397412	23.397412	462.780149	-884544.947634	-884544.947634	-15918187.819524
1.000000	339.000000	23.191273	23.191273	462.780143	-874356.942143	-874356.942143	-15918187.512613
1.000000	340.000000	22.988169	22.988169	462.780149	-864318.892756	-864318.892756	-15918187.819306
1.000000	341.000000	22.788013	22.788013	462.780149	-854426.556293	-854426.556293	-15918187.819207
1.000000	342.000000	22.590750	22.590750	462.780149	-844677.247819	-844677.247819	-15918187.819115
1.000000	343.000000	22.396322	22.396322	462.780149	-835067.998424	-835067.998424	-15918187.819029
1.000000	344.000000	22.204669	22.204669	462.780149	-825595.920201	-825595.920201	-15918187.818949
1.000000	345.000000	22.015734	22.015734	462.780149	-816258.203525	-816258.203525	-15918187.818875
1.000000	346.000000	21.829463	21.829463	462.780149	-807052.114419	-807052.114419	-15918187.818807
1.000000	347.000000	21.645802	21.645802	462.780149	-797974.992019	-797974.992019	-15918187.818745
1.000000	348.000000	21.464697	21.464697	462.780149	-789024.246154	-789024.246154	-15918187.818688
1.000000	349.000000	21.286098	21.286098	462.780149	-780197.355013	-780197.355013	-15918187.818636
1.000000	350.000000	21.109956	21.109956	462.780149	-771491.862915	-771491.862915	-15918187.818589
1.000000	351.000000	20.936222	20.936222	462.780149	-762905.378149	-762905.378149	-15918187.818548
1.000000	352.000000	20.764848	20.764848	462.780149	-754435.570912	-754435.570912	-15918187.818511
1.000000	353.000000	20.595790	20.595790	462.780149	-746080.171325	-746080.171325	-15918187.818478
1.000000	354.000000	20.429001	20.429001	462.780149	-737836.967508	-737836.967508	-15918187.818451
1.000000	355.000000	20.264439	20.264439	462.780149	-729703.803757	-729703.803757	-15918187.818427
